academic_year,application_stage,gender_group,count,percent_of_stage_total,source_table
2003-2004,Applicants,Women,17672,50.79,FACTS Chart 2
2003-2004,Applicants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 2
2004-2005,Applicants,All,35735,100.0,FACTS Chart 2
2004-2005,Applicants,Men,17717,49.58,FACTS Chart 2
2004-2005,Applicants,Women,18018,50.42,FACTS Chart 2
2004-2005,Applicants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 2
2005-2006,Applicants,All,37371,100.0,FACTS Chart 2
2005-2006,Applicants,Men,18747,50.16,FACTS Chart 2
2005-2006,Applicants,Women,18624,49.84,FACTS Chart 2
2005-2006,Applicants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 2
2006-2007,Applicants,All,39108,100.0,FACTS Chart 2
2006-2007,Applicants,Men,19815,50.67,FACTS Chart 2
2006-2007,Applicants,Women,19293,49.33,FACTS Chart 2
2006-2007,Applicants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 2
2007-2008,Applicants,All,42315,100.0,FACTS Chart 2
2007-2008,Applicants,Men,21580,51.0,FACTS Chart 2
2007-2008,Applicants,Women,20735,49.0,FACTS Chart 2
2007-2008,Applicants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 2
2008-2009,Applicants,All,42231,100.0,FACTS Chart 2
2008-2009,Applicants,Men,21870,51.79,FACTS Chart 2
2008-2009,Applicants,Women,20360,48.21,FACTS Chart 2
2008-2009,Applicants,Another Gender Identity or Not Reported,1,0.0,FACTS Chart 2
2009-2010,Applicants,All,42268,100.0,FACTS Chart 2
2009-2010,Applicants,Men,22013,52.08,FACTS Chart 2
2009-2010,Applicants,Women,20252,47.91,FACTS Chart 2
2009-2010,Applicants,Another Gender Identity or Not Reported,3,0.01,FACTS Chart 2
2010-2011,Applicants,All,42741,100.0,FACTS Chart 2
2010-2011,Applicants,Men,22533,52.72,FACTS Chart 2
2010-2011,Applicants,Women,20207,47.28,FACTS Chart 2
2010-2011,Applicants,Another Gender Identity or Not Reported,1,0.0,FACTS Chart 2
2011-2012,Applicants,All,43919,100.0,FACTS Chart 2
2011-2012,Applicants,Men,23135,52.68,FACTS Chart 2
2011-2012,Applicants,Women,20780,47.31,FACTS Chart 2
2011-2012,Applicants,Another Gender Identity or Not Reported,4,0.01,FACTS Chart 2
2012-2013,Applicants,All,45266,100.0,FACTS Chart 2
2012-2013,Applicants,Men,24338,53.77,FACTS Chart 2
2012-2013,Applicants,Women,20922,46.22,FACTS Chart 2
2012-2013,Applicants,Another Gender Identity or Not Reported,6,0.01,FACTS Chart 2
2013-2014,Applicants,All,48014,100.0,FACTS Chart 2
2013-2014,Applicants,Men,25760,53.65,FACTS Chart 2
2013-2014,Applicants,Women,22250,46.34,FACTS Chart 2
2013-2014,Applicants,Another Gender Identity or Not Reported,4,0.01,FACTS Chart 2
2014-2015,Applicants,All,49480,100.0,FACTS Chart 2
2014-2015,Applicants,Men,26455,53.47,FACTS Chart 2
2014-2015,Applicants,Women,23019,46.52,FACTS Chart 2
2014-2015,Applicants,Another Gender Identity or Not Reported,6,0.01,FACTS Chart 2
2015-2016,Applicants,All,52549,100.0,FACTS Chart 2
2015-2016,Applicants,Men,27927,53.14,FACTS Chart 2
2015-2016,Applicants,Women,24608,46.83,FACTS Chart 2
2015-2016,Applicants,Another Gender Identity or Not Reported,14,0.03,FACTS Chart 2
2016-2017,Applicants,All,53042,100.0,FACTS Chart 2
2016-2017,Applicants,Men,27250,51.37,FACTS Chart 2
2016-2017,Applicants,Women,25779,48.6,FACTS Chart 2
2016-2017,Applicants,Another Gender Identity or Not Reported,13,0.02,FACTS Chart 2
2017-2018,Applicants,All,51680,100.0,FACTS Chart 2
2017-2018,Applicants,Men,26058,50.42,FACTS Chart 2
2017-2018,Applicants,Women,25600,49.54,FACTS Chart 2
2017-2018,Applicants,Another Gender Identity or Not Reported,22,0.04,FACTS Chart 2
2018-2019,Applicants,All,52777,100.0,FACTS Chart 2
2018-2019,Applicants,Men,25875,49.03,FACTS Chart 2
2018-2019,Applicants,Women,26882,50.94,FACTS Chart 2
2018-2019,Applicants,Another Gender Identity or Not Reported,20,0.04,FACTS Chart 2
2019-2020,Applicants,All,53369,100.0,FACTS Chart 2
2019-2020,Applicants,Men,25493,47.77,FACTS Chart 2
2019-2020,Applicants,Women,27847,52.18,FACTS Chart 2
2019-2020,Applicants,Another Gender Identity or Not Reported,29,0.05,FACTS Chart 2
2020-2021,Applicants,All,53030,100.0,FACTS Chart 2
2020-2021,Applicants,Men,24620,46.43,FACTS Chart 2
2020-2021,Applicants,Women,28343,53.45,FACTS Chart 2
2020-2021,Applicants,Another Gender Identity or Not Reported,67,0.13,FACTS Chart 2
2021-2022,Applicants,All,62443,100.0,FACTS Chart 2
2021-2022,Applicants,Men,26948,43.16,FACTS Chart 2
2021-2022,Applicants,Women,35438,56.75,FACTS Chart 2
2021-2022,Applicants,Another Gender Identity or Not Reported,57,0.09,FACTS Chart 2
2022-2023,Applicants,All,55189,100.0,FACTS Chart 2
2022-2023,Applicants,Men,23924,43.35,FACTS Chart 2
2022-2023,Applicants,Women,31191,56.52,FACTS Chart 2
2022-2023,Applicants,Another Gender Identity or Not Reported,74,0.13,FACTS Chart 2
2023-2024,Applicants,All,52577,100.0,FACTS Chart 2
2023-2024,Applicants,Men,22574,42.94,FACTS Chart 2
2023-2024,Applicants,Women,29763,56.61,FACTS Chart 2
2023-2024,Applicants,Another Gender Identity or Not Reported,240,0.46,FACTS Chart 2
2024-2025,Applicants,All,51946,100.0,FACTS Chart 2
2024-2025,Applicants,Men,22088,42.52,FACTS Chart 2
2024-2025,Applicants,Women,29528,56.84,FACTS Chart 2
2024-2025,Applicants,Another Gender Identity or Not Reported,330,0.64,FACTS Chart 2
2025-2026,Applicants,All,54699,100.0,FACTS Chart 2
2025-2026,Applicants,Men,23072,42.18,FACTS Chart 2
2025-2026,Applicants,Women,31291,57.21,FACTS Chart 2
2025-2026,Applicants,Another Gender Identity or Not Reported,336,0.61,FACTS Chart 2
1980-1981,Matriculants,All,16587,100.0,FACTS Chart 3
1980-1981,Matriculants,Men,11830,71.32,FACTS Chart 3
1980-1981,Matriculants,Women,4757,28.68,FACTS Chart 3
1980-1981,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
1981-1982,Matriculants,All,16660,100.0,FACTS Chart 3
1981-1982,Matriculants,Men,11547,69.31,FACTS Chart 3
1981-1982,Matriculants,Women,5113,30.69,FACTS Chart 3
1981-1982,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
1982-1983,Matriculants,All,16567,100.0,FACTS Chart 3
1982-1983,Matriculants,Men,11366,68.61,FACTS Chart 3
1982-1983,Matriculants,Women,5201,31.39,FACTS Chart 3
1982-1983,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
1983-1984,Matriculants,All,16480,100.0,FACTS Chart 3
1983-1984,Matriculants,Men,11114,67.44,FACTS Chart 3
1983-1984,Matriculants,Women,5366,32.56,FACTS Chart 3
1983-1984,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
1984-1985,Matriculants,All,16395,100.0,FACTS Chart 3
1984-1985,Matriculants,Men,10926,66.64,FACTS Chart 3
1984-1985,Matriculants,Women,5469,33.36,FACTS Chart 3
1984-1985,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
1985-1986,Matriculants,All,16268,100.0,FACTS Chart 3
1985-1986,Matriculants,Men,10748,66.07,FACTS Chart 3
1985-1986,Matriculants,Women,5520,33.93,FACTS Chart 3
1985-1986,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
1986-1987,Matriculants,All,16103,100.0,FACTS Chart 3
1986-1987,Matriculants,Men,10529,65.39,FACTS Chart 3
1986-1987,Matriculants,Women,5574,34.61,FACTS Chart 3
1986-1987,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
1987-1988,Matriculants,All,15927,100.0,FACTS Chart 3
1987-1988,Matriculants,Men,10160,63.79,FACTS Chart 3
1987-1988,Matriculants,Women,5767,36.21,FACTS Chart 3
1987-1988,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
1988-1989,Matriculants,All,15969,100.0,FACTS Chart 3
1988-1989,Matriculants,Men,10091,63.19,FACTS Chart 3
1988-1989,Matriculants,Women,5878,36.81,FACTS Chart 3
1988-1989,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
1989-1990,Matriculants,All,15867,100.0,FACTS Chart 3
1989-1990,Matriculants,Men,9842,62.03,FACTS Chart 3
1989-1990,Matriculants,Women,6025,37.97,FACTS Chart 3
1989-1990,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
1990-1991,Matriculants,All,15998,100.0,FACTS Chart 3
1990-1991,Matriculants,Men,9845,61.54,FACTS Chart 3
1990-1991,Matriculants,Women,6153,38.46,FACTS Chart 3
1990-1991,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
1991-1992,Matriculants,All,16211,100.0,FACTS Chart 3
1991-1992,Matriculants,Men,9778,60.32,FACTS Chart 3
1991-1992,Matriculants,Women,6433,39.68,FACTS Chart 3
1991-1992,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
1992-1993,Matriculants,All,16289,100.0,FACTS Chart 3
1992-1993,Matriculants,Men,9517,58.43,FACTS Chart 3
1992-1993,Matriculants,Women,6772,41.57,FACTS Chart 3
1992-1993,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
1993-1994,Matriculants,All,16307,100.0,FACTS Chart 3
1993-1994,Matriculants,Men,9456,57.99,FACTS Chart 3
1993-1994,Matriculants,Women,6851,42.01,FACTS Chart 3
1993-1994,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
1994-1995,Matriculants,All,16287,100.0,FACTS Chart 3
1994-1995,Matriculants,Men,9468,58.13,FACTS Chart 3
1994-1995,Matriculants,Women,6819,41.87,FACTS Chart 3
1994-1995,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
1995-1996,Matriculants,All,16252,100.0,FACTS Chart 3
1995-1996,Matriculants,Men,9311,57.29,FACTS Chart 3
1995-1996,Matriculants,Women,6941,42.71,FACTS Chart 3
1995-1996,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
1996-1997,Matriculants,All,16201,100.0,FACTS Chart 3
1996-1997,Matriculants,Men,9283,57.3,FACTS Chart 3
1996-1997,Matriculants,Women,6918,42.7,FACTS Chart 3
1996-1997,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
1997-1998,Matriculants,All,16164,100.0,FACTS Chart 3
1997-1998,Matriculants,Men,9170,56.73,FACTS Chart 3
1997-1998,Matriculants,Women,6994,43.27,FACTS Chart 3
1997-1998,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
1998-1999,Matriculants,All,16170,100.0,FACTS Chart 3
1998-1999,Matriculants,Men,9008,55.71,FACTS Chart 3
1998-1999,Matriculants,Women,7162,44.29,FACTS Chart 3
1998-1999,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
1999-2000,Matriculants,All,16221,100.0,FACTS Chart 3
1999-2000,Matriculants,Men,8809,54.31,FACTS Chart 3
1999-2000,Matriculants,Women,7412,45.69,FACTS Chart 3
1999-2000,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
2000-2001,Matriculants,All,16301,100.0,FACTS Chart 3
2000-2001,Matriculants,Men,8829,54.16,FACTS Chart 3
2000-2001,Matriculants,Women,7472,45.84,FACTS Chart 3
2000-2001,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
2001-2002,Matriculants,All,16365,100.0,FACTS Chart 3
2001-2002,Matriculants,Men,8581,52.44,FACTS Chart 3
2001-2002,Matriculants,Women,7784,47.56,FACTS Chart 3
2001-2002,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
2002-2003,Matriculants,All,16488,100.0,FACTS Chart 3
2002-2003,Matriculants,Men,8375,50.79,FACTS Chart 3
2002-2003,Matriculants,Women,8113,49.21,FACTS Chart 3
2002-2003,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
2003-2004,Matriculants,All,16541,100.0,FACTS Chart 3
2003-2004,Matriculants,Men,8329,50.35,FACTS Chart 3
2003-2004,Matriculants,Women,8212,49.65,FACTS Chart 3
2003-2004,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
2004-2005,Matriculants,All,16648,100.0,FACTS Chart 3
2004-2005,Matriculants,Men,8413,50.53,FACTS Chart 3
2004-2005,Matriculants,Women,8235,49.47,FACTS Chart 3
2004-2005,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
2005-2006,Matriculants,All,17003,100.0,FACTS Chart 3
2005-2006,Matriculants,Men,8764,51.54,FACTS Chart 3
2005-2006,Matriculants,Women,8239,48.46,FACTS Chart 3
2005-2006,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
2006-2007,Matriculants,All,17361,100.0,FACTS Chart 3
2006-2007,Matriculants,Men,8923,51.4,FACTS Chart 3
2006-2007,Matriculants,Women,8438,48.6,FACTS Chart 3
2006-2007,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
2007-2008,Matriculants,All,17759,100.0,FACTS Chart 3
2007-2008,Matriculants,Men,9177,51.68,FACTS Chart 3
2007-2008,Matriculants,Women,8582,48.32,FACTS Chart 3
2007-2008,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
2008-2009,Matriculants,All,18036,100.0,FACTS Chart 3
2008-2009,Matriculants,Men,9422,52.24,FACTS Chart 3
2008-2009,Matriculants,Women,8614,47.76,FACTS Chart 3
2008-2009,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
2009-2010,Matriculants,All,18390,100.0,FACTS Chart 3
2009-2010,Matriculants,Men,9573,52.06,FACTS Chart 3
2009-2010,Matriculants,Women,8817,47.94,FACTS Chart 3
