region,entity_name,entity_type,academic_year,applicants,matriculants,matriculation_rate_percent
West,Utah,state_or_territory,2017-2018,606,204,33.66
West,Utah,state_or_territory,2018-2019,594,207,34.85
West,Utah,state_or_territory,2019-2020,632,212,33.54
West,Utah,state_or_territory,2020-2021,651,239,36.71
West,Utah,state_or_territory,2021-2022,712,219,30.76
West,Utah,state_or_territory,2022-2023,673,216,32.1
West,Utah,state_or_territory,2023-2024,593,242,40.81
West,Utah,state_or_territory,2024-2025,635,261,41.1
West,Utah,state_or_territory,2025-2026,637,230,36.11
West,Washington,state_or_territory,2016-2017,1052,385,36.6
West,Washington,state_or_territory,2017-2018,1072,433,40.39
West,Washington,state_or_territory,2018-2019,1066,408,38.27
West,Washington,state_or_territory,2019-2020,1135,448,39.47
West,Washington,state_or_territory,2020-2021,1068,425,39.79
West,Washington,state_or_territory,2021-2022,1352,442,32.69
West,Washington,state_or_territory,2022-2023,1119,403,36.01
West,Washington,state_or_territory,2023-2024,1067,456,42.74
West,Washington,state_or_territory,2024-2025,1003,451,44.97
West,Washington,state_or_territory,2025-2026,1051,447,42.53
West,Wyoming,state_or_territory,2016-2017,63,31,49.21
West,Wyoming,state_or_territory,2017-2018,63,33,52.38
West,Wyoming,state_or_territory,2018-2019,67,31,46.27
West,Wyoming,state_or_territory,2019-2020,70,29,41.43
West,Wyoming,state_or_territory,2020-2021,65,32,49.23
West,Wyoming,state_or_territory,2021-2022,65,27,41.54
West,Wyoming,state_or_territory,2022-2023,58,31,53.45
West,Wyoming,state_or_territory,2023-2024,54,28,51.85
West,Wyoming,state_or_territory,2024-2025,54,29,53.7
West,Wyoming,state_or_territory,2025-2026,44,30,68.18
