region,entity_name,entity_type,academic_year,applicants,matriculants,matriculation_rate_percent
Northeast,Maryland,state_or_territory,2020-2021,1169,540,46.19
Northeast,Maryland,state_or_territory,2021-2022,1449,577,39.82
Northeast,Maryland,state_or_territory,2022-2023,1231,539,43.79
Northeast,Maryland,state_or_territory,2023-2024,1270,581,45.75
Northeast,Maryland,state_or_territory,2024-2025,1223,592,48.41
Northeast,Maryland,state_or_territory,2025-2026,1359,594,43.71
Northeast,Massachusetts,state_or_territory,2016-2017,1411,659,46.7
Northeast,Massachusetts,state_or_territory,2017-2018,1250,646,51.68
Northeast,Massachusetts,state_or_territory,2018-2019,1269,612,48.23
Northeast,Massachusetts,state_or_territory,2019-2020,1298,624,48.07
Northeast,Massachusetts,state_or_territory,2020-2021,1311,648,49.43
Northeast,Massachusetts,state_or_territory,2021-2022,1550,658,42.45
Northeast,Massachusetts,state_or_territory,2022-2023,1479,728,49.22
Northeast,Massachusetts,state_or_territory,2023-2024,1380,683,49.49
Northeast,Massachusetts,state_or_territory,2024-2025,1373,729,53.1
Northeast,Massachusetts,state_or_territory,2025-2026,1465,744,50.78
Northeast,New Hampshire,state_or_territory,2016-2017,131,52,39.69
Northeast,New Hampshire,state_or_territory,2017-2018,120,53,44.17
Northeast,New Hampshire,state_or_territory,2018-2019,118,45,38.14
Northeast,New Hampshire,state_or_territory,2019-2020,117,55,47.01
Northeast,New Hampshire,state_or_territory,2020-2021,119,48,40.34
Northeast,New Hampshire,state_or_territory,2021-2022,162,52,32.1
Northeast,New Hampshire,state_or_territory,2022-2023,135,51,37.78
Northeast,New Hampshire,state_or_territory,2023-2024,109,54,49.54
Northeast,New Hampshire,state_or_territory,2024-2025,100,50,50.0
Northeast,New Hampshire,state_or_territory,2025-2026,129,61,47.29
Northeast,New Jersey,state_or_territory,2016-2017,1806,785,43.47
Northeast,New Jersey,state_or_territory,2017-2018,1846,822,44.53
Northeast,New Jersey,state_or_territory,2018-2019,1957,864,44.15
Northeast,New Jersey,state_or_territory,2019-2020,1934,873,45.14
Northeast,New Jersey,state_or_territory,2020-2021,1892,916,48.41
Northeast,New Jersey,state_or_territory,2021-2022,2228,931,41.79
Northeast,New Jersey,state_or_territory,2022-2023,2021,920,45.52
Northeast,New Jersey,state_or_territory,2023-2024,1911,936,48.98
Northeast,New Jersey,state_or_territory,2024-2025,1885,942,49.97
Northeast,New Jersey,state_or_territory,2025-2026,2009,936,46.59
Northeast,New York,state_or_territory,2016-2017,3621,1603,44.27
Northeast,New York,state_or_territory,2017-2018,3371,1641,48.68
Northeast,New York,state_or_territory,2018-2019,3471,1608,46.33
Northeast,New York,state_or_territory,2019-2020,3530,1674,47.42
Northeast,New York,state_or_territory,2020-2021,3459,1618,46.78
Northeast,New York,state_or_territory,2021-2022,4142,1646,39.74
Northeast,New York,state_or_territory,2022-2023,3662,1706,46.59
Northeast,New York,state_or_territory,2023-2024,3521,1680,47.71
Northeast,New York,state_or_territory,2024-2025,3521,1654,46.98
Northeast,New York,state_or_territory,2025-2026,3595,1680,46.73
Northeast,Pennsylvania,state_or_territory,2016-2017,1744,751,43.06
Northeast,Pennsylvania,state_or_territory,2017-2018,1665,757,45.47
Northeast,Pennsylvania,state_or_territory,2018-2019,1646,789,47.93
Northeast,Pennsylvania,state_or_territory,2019-2020,1642,767,46.71
Northeast,Pennsylvania,state_or_territory,2020-2021,1643,805,49.0
Northeast,Pennsylvania,state_or_territory,2021-2022,1912,805,42.1
Northeast,Pennsylvania,state_or_territory,2022-2023,1672,751,44.92
Northeast,Pennsylvania,state_or_territory,2023-2024,1566,745,47.57
Northeast,Pennsylvania,state_or_territory,2024-2025,1554,736,47.36
Northeast,Pennsylvania,state_or_territory,2025-2026,1626,773,47.54
Northeast,Rhode Island,state_or_territory,2016-2017,107,52,48.6
Northeast,Rhode Island,state_or_territory,2017-2018,102,54,52.94
Northeast,Rhode Island,state_or_territory,2018-2019,93,47,50.54
Northeast,Rhode Island,state_or_territory,2019-2020,117,58,49.57
Northeast,Rhode Island,state_or_territory,2020-2021,91,52,57.14
Northeast,Rhode Island,state_or_territory,2021-2022,136,63,46.32
Northeast,Rhode Island,state_or_territory,2022-2023,125,78,62.4
Northeast,Rhode Island,state_or_territory,2023-2024,102,53,51.96
Northeast,Rhode Island,state_or_territory,2024-2025,110,59,53.64
Northeast,Rhode Island,state_or_territory,2025-2026,107,52,48.6
Northeast,Vermont,state_or_territory,2016-2017,96,59,61.46
