source_table,population,academic_year,major,metric,statistic,value
A-17,Applicants,2025-2026,Physical Sciences,MCAT PSBB,SD,2.7
A-17,Applicants,2025-2026,Physical Sciences,Total MCAT,Mean,509.6
A-17,Applicants,2025-2026,Physical Sciences,Total MCAT,SD,9.5
A-17,Applicants,2025-2026,Physical Sciences,GPA Science,Mean,3.64
A-17,Applicants,2025-2026,Physical Sciences,GPA Science,SD,0.37
A-17,Applicants,2025-2026,Physical Sciences,GPA Non-Science,Mean,3.78
A-17,Applicants,2025-2026,Physical Sciences,GPA Non-Science,SD,0.27
A-17,Applicants,2025-2026,Physical Sciences,GPA Total,Mean,3.7
A-17,Applicants,2025-2026,Physical Sciences,GPA Total,SD,0.31
A-17,Applicants,2025-2026,Physical Sciences,Total Applicants,Count,4243.0
A-17,Applicants,2025-2026,Social Sciences,MCAT CPBS,Mean,126.0
A-17,Applicants,2025-2026,Social Sciences,MCAT CPBS,SD,3.1
A-17,Applicants,2025-2026,Social Sciences,MCAT CARS,Mean,126.0
A-17,Applicants,2025-2026,Social Sciences,MCAT CARS,SD,2.8
A-17,Applicants,2025-2026,Social Sciences,MCAT BBLS,Mean,126.1
A-17,Applicants,2025-2026,Social Sciences,MCAT BBLS,SD,3.0
A-17,Applicants,2025-2026,Social Sciences,MCAT PSBB,Mean,127.8
A-17,Applicants,2025-2026,Social Sciences,MCAT PSBB,SD,2.9
A-17,Applicants,2025-2026,Social Sciences,Total MCAT,Mean,505.8
A-17,Applicants,2025-2026,Social Sciences,Total MCAT,SD,10.2
A-17,Applicants,2025-2026,Social Sciences,GPA Science,Mean,3.48
A-17,Applicants,2025-2026,Social Sciences,GPA Science,SD,0.47
A-17,Applicants,2025-2026,Social Sciences,GPA Non-Science,Mean,3.74
A-17,Applicants,2025-2026,Social Sciences,GPA Non-Science,SD,0.31
A-17,Applicants,2025-2026,Social Sciences,GPA Total,Mean,3.62
A-17,Applicants,2025-2026,Social Sciences,GPA Total,SD,0.35
