application_stage,race_ethnicity_category,response_type,row_type,academic_year,count,percent,source_table
Matriculants,Some Other Race or Ethnicity,Alone or In Combination,race_ethnicity,2024-2025,1036,4.5,A-14.3
Matriculants,Some Other Race or Ethnicity,Alone or In Combination,race_ethnicity,2025-2026,226,1,A-14.3
Matriculants,Unknown Race or Ethnicity,,unknown,2021-2022,828,3.7,A-14.3
Matriculants,Unknown Race or Ethnicity,,unknown,2022-2023,650,2.9,A-14.3
Matriculants,Unknown Race or Ethnicity,,unknown,2023-2024,676,2.9,A-14.3
Matriculants,Unknown Race or Ethnicity,,unknown,2024-2025,736,3.2,A-14.3
Matriculants,Unknown Race or Ethnicity,,unknown,2025-2026,1227,5.2,A-14.3
Matriculants,Unduplicated Total URiM Matriculants,,urim_total,2021-2022,5643,24.9,A-14.3
Matriculants,Unduplicated Total URiM Matriculants,,urim_total,2022-2023,5291,23.3,A-14.3
Matriculants,Unduplicated Total URiM Matriculants,,urim_total,2023-2024,5418,23.6,A-14.3
Matriculants,Unduplicated Total URiM Matriculants,,urim_total,2024-2025,4785,20.7,A-14.3
Matriculants,Unduplicated Total URiM Matriculants,,urim_total,2025-2026,4760,20.3,A-14.3
Matriculants,Unduplicated Total Matriculants,,unduplicated_total,2021-2022,22666,100,A-14.3
Matriculants,Unduplicated Total Matriculants,,unduplicated_total,2022-2023,22710,100,A-14.3
Matriculants,Unduplicated Total Matriculants,,unduplicated_total,2023-2024,22980,100,A-14.3
Matriculants,Unduplicated Total Matriculants,,unduplicated_total,2024-2025,23156,100,A-14.3
Matriculants,Unduplicated Total Matriculants,,unduplicated_total,2025-2026,23440,100,A-14.3
