region,entity_name,entity_type,academic_year,american_indian_or_alaska_native_applicants,american_indian_or_alaska_native_matriculants,american_indian_or_alaska_native_ratio_percent,asian_applicants,asian_matriculants,asian_ratio_percent,black_or_african_american_applicants,black_or_african_american_matriculants,black_or_african_american_ratio_percent,hispanic_or_latino_applicants,hispanic_or_latino_matriculants,hispanic_or_latino_ratio_percent,middle_eastern_or_north_african_applicants,middle_eastern_or_north_african_matriculants,middle_eastern_or_north_african_ratio_percent,native_hawaiian_or_pacific_islander_applicants,native_hawaiian_or_pacific_islander_matriculants,native_hawaiian_or_pacific_islander_ratio_percent,white_applicants,white_matriculants,white_ratio_percent,some_other_race_or_ethnicity_applicants,some_other_race_or_ethnicity_matriculants,some_other_race_or_ethnicity_ratio_percent,multiple_race_or_ethnicity_applicants,multiple_race_or_ethnicity_matriculants,multiple_race_or_ethnicity_ratio_percent,unknown_race_or_ethnicity_applicants,unknown_race_or_ethnicity_matriculants,unknown_race_or_ethnicity_ratio_percent,total_applicants,total_matriculants,overall_applicant_to_matriculant_ratio_percent,applicant_us_citizen_and_permanent_resident,applicant_non_us_citizen_and_non_permanent_resident,matriculant_us_citizen_and_permanent_resident,matriculant_non_us_citizen_and_non_permanent_resident
Northeast,District of Columbia,state_or_district,2025-2026,0,0,,12,4,33.33,36,10,27.78,1,0,0.0,4,2,50.0,0,0,,44,27,61.36,0,0,,18,7,38.89,3,1,33.33,118,51,43.22,116,2,51,0
Northeast,Maine,state_or_district,2025-2026,0,0,,8,1,12.5,4,0,0.0,0,0,,3,1,33.33,0,0,,58,30,51.72,1,1,100.0,8,6,75.0,3,1,33.33,85,40,47.06,84,1,40,0
Northeast,Maryland,state_or_district,2025-2026,0,0,,389,172,44.22,327,106,32.42,38,16,42.11,41,21,51.22,0,0,,343,168,48.98,5,1,20.0,139,67,48.2,77,43,55.84,1359,594,43.71,1320,39,579,15
Northeast,Massachusetts,state_or_district,2025-2026,0,0,,407,208,51.11,110,37,33.64,47,21,44.68,48,19,39.58,0,0,,580,327,56.38,11,3,27.27,169,95,56.21,93,34,36.56,1465,744,50.78,1416,49,732,12
Northeast,New Hampshire,state_or_district,2025-2026,0,0,,34,18,52.94,2,0,0.0,5,1,20.0,1,0,0.0,0,0,,66,33,50.0,1,0,0.0,11,5,45.45,9,4,44.44,129,61,47.29,127,2,60,1
Northeast,New Jersey,state_or_district,2025-2026,0,0,,783,380,48.53,178,54,30.34,93,40,43.01,99,44,44.44,0,0,,474,236,49.79,7,2,28.57,223,109,48.88,152,71,46.71,2009,936,46.59,1981,28,930,6
Northeast,New York,state_or_district,2025-2026,2,2,100.0,1002,456,45.51,410,144,35.12,221,97,43.89,134,61,45.52,0,0,,1101,607,55.13,44,17,38.64,446,196,43.95,235,100,42.55,3595,1680,46.73,3527,68,1672,8
Northeast,Pennsylvania,state_or_district,2025-2026,0,0,,378,199,52.65,128,42,32.81,32,17,53.12,56,21,37.5,0,0,,752,361,48.01,3,2,66.67,178,83,46.63,99,48,48.48,1626,773,47.54,1593,33,764,9
Northeast,Rhode Island,state_or_district,2025-2026,0,0,,16,12,75.0,10,2,20.0,3,2,66.67,1,1,100.0,0,0,,56,22,39.29,1,0,0.0,14,10,71.43,6,3,50.0,107,52,48.6,103,4,51,1
Northeast,Vermont,state_or_district,2025-2026,0,0,,6,2,33.33,2,2,100.0,0,0,,1,0,0.0,0,0,,53,30,56.6,0,0,,11,9,81.82,3,1,33.33,76,44,57.89,75,1,44,0
