undergraduate_institution,institution_name,city,state_or_province,demographic_group,group_applicants,total_applicants,group_share_of_institution_pct,pct_of_all_group_applicants_nationally,academic_year,source_table,source_file,source_excel_row
"Cornell University, Ithaca, NY",Cornell University,Ithaca,NY,Asian,162,385,42.08,1,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,30
"University of California-Riverside, Riverside, CA",University of California-Riverside,Riverside,CA,Asian,156,301,51.83,0.9,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,31
"University of Illinois at Urbana-Champaign, Champaign, IL",University of Illinois at Urbana-Champaign,Champaign,IL,Asian,155,362,42.82,0.9,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,32
"University of Georgia, Athens, GA",University of Georgia,Athens,GA,Asian,152,528,28.79,0.9,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,33
"University of South Florida, Tampa, FL",University of South Florida,Tampa,FL,Asian,152,512,29.69,0.9,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,34
"University of Virginia, Charlottesville, VA",University of Virginia,Charlottesville,VA,Asian,149,478,31.17,0.9,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,35
"New York University, New York, NY",New York University,New York,NY,Asian,145,331,43.81,0.9,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,36
"Duke University, Durham, NC",Duke University,Durham,NC,Asian,144,314,45.86,0.9,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,37
"Boston University, Boston, MA",Boston University,Boston,MA,Asian,141,331,42.6,0.8,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,38
"Rice University, Houston, TX",Rice University,Houston,TX,Asian,136,218,62.39,0.8,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,39
"University of Wisconsin-Madison, Madison, WI",University of Wisconsin-Madison,Madison,WI,Asian,132,547,24.13,0.8,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,40
"Vanderbilt University, Nashville, TN",Vanderbilt University,Nashville,TN,Asian,131,319,41.07,0.8,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,41
"Brown University, Providence, RI",Brown University,Providence,RI,Asian,125,320,39.06,0.8,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,42
"Arizona State University, Tempe, AZ",Arizona State University,Tempe,AZ,Asian,124,459,27.02,0.7,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,43
"University of Illinois at Chicago, Chicago, IL",University of Illinois at Chicago,Chicago,IL,Asian,119,279,42.65,0.7,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,44
"Virginia Commonwealth University, Richmond, VA",Virginia Commonwealth University,Richmond,VA,Asian,119,228,52.19,0.7,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,45
"McMaster University, Hamilton, ON",McMaster University,Hamilton,ON,Asian,116,187,62.03,0.7,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,46
"Baylor University, Waco, TX",Baylor University,Waco,TX,Asian,113,423,26.71,0.7,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,47
"University of Minnesota, Minneapolis, MN",University of Minnesota,Minneapolis,MN,Asian,111,368,30.16,0.7,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,48
"Northeastern University, Boston, MA",Northeastern University,Boston,MA,Asian,107,285,37.54,0.6,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,49
"Northwestern University-Evanston, Evanston, IL",Northwestern University-Evanston,Evanston,IL,Asian,107,253,42.29,0.6,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,50
"Harvard University, Cambridge, MA",Harvard University,Cambridge,MA,Asian,104,257,40.47,0.6,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,51
"University of California-Santa Barbara, Santa Barbara, CA",University of California-Santa Barbara,Santa Barbara,CA,Asian,103,258,39.92,0.6,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,52
"Georgia Institute of Technology, Atlanta, GA",Georgia Institute of Technology,Atlanta,GA,Asian,100,239,41.84,0.6,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,53
"University of Central Florida, Orlando, FL",University of Central Florida,Orlando,FL,Asian,100,430,23.26,0.6,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,54
"University of Western Ontario, London, ON",University of Western Ontario,London,ON,Asian,100,184,54.35,0.6,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,55
"University of Toronto, Toronto, ON",University of Toronto,Toronto,ON,Asian,97,205,47.32,0.6,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,56
"University of Alabama at Birmingham, Birmingham, AL",University of Alabama at Birmingham,Birmingham,AL,Asian,94,245,38.37,0.6,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,57
"Stanford University, Stanford, CA",Stanford University,Stanford,CA,Asian,89,228,39.04,0.5,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,58
"University of Arizona, Tucson, AZ",University of Arizona,Tucson,AZ,Asian,89,386,23.06,0.5,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,59
"Saint Louis University, St. Louis, MO",Saint Louis University,St. Louis,MO,Asian,88,179,49.16,0.5,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,60
"Penn State University Park, University Park, PA",Penn State University Park,University Park,PA,Asian,84,277,30.32,0.5,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,61
"Yale University, New Haven, CT",Yale University,New Haven,CT,Asian,84,189,44.44,0.5,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,62
"Michigan State University, East Lansing, MI",Michigan State University,East Lansing,MI,Asian,82,370,22.16,0.5,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,63
"University of Connecticut, Storrs, CT",University of Connecticut,Storrs,CT,Asian,81,240,33.75,0.5,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,64
"Columbia University in the City of New York, New York, NY",Columbia University in the City of New York,New York,NY,Asian,77,204,37.75,0.5,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,65
"Nova Southeastern University, Fort Lauderdale, FL",Nova Southeastern University,Fort Lauderdale,FL,Asian,75,137,54.74,0.5,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,66
"University of Chicago, Chicago, IL",University of Chicago,Chicago,IL,Asian,71,186,38.17,0.4,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,67
"Purdue University-Main Campus, West Lafayette, IN",Purdue University-Main Campus,West Lafayette,IN,Asian,69,218,31.65,0.4,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,68
"Loyola University Chicago, Chicago, IL",Loyola University Chicago,Chicago,IL,Asian,68,201,33.83,0.4,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,69
"City University of New York Hunter College, New York, NY",City University of New York Hunter College,New York,NY,Asian,66,167,39.52,0.4,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,70
"Tufts University, Medford, MA",Tufts University,Medford,MA,Asian,66,200,33.0,0.4,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,71
"University at Buffalo-SUNY, Buffalo, NY",University at Buffalo-SUNY,Buffalo,NY,Asian,66,168,39.29,0.4,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,72
"Indiana University-Bloomington, Bloomington, IN",Indiana University-Bloomington,Bloomington,IN,Asian,65,272,23.9,0.4,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,73
"University of Oklahoma Norman Campus, Norman, OK",University of Oklahoma Norman Campus,Norman,OK,Asian,65,224,29.02,0.4,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,74
"University of Rochester, Rochester, NY",University of Rochester,Rochester,NY,Asian,64,151,42.38,0.4,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,75
"Georgetown University, Washington, DC",Georgetown University,Washington,DC,Asian,62,189,32.8,0.4,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,76
"George Washington University, Washington, DC",George Washington University,Washington,DC,Asian,61,147,41.5,0.4,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,77
"College of William & Mary, Williamsburg, VA",College of William & Mary,Williamsburg,VA,Asian,59,169,34.91,0.4,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,78
"University of Cincinnati Main Campus, Cincinnati, OH",University of Cincinnati Main Campus,Cincinnati,OH,Asian,59,175,33.71,0.4,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,79
"University of Miami, Coral Gables, FL",University of Miami,Coral Gables,FL,Asian,59,289,20.42,0.4,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,80
"Temple University, Philadelphia, PA",Temple University,Philadelphia,PA,Asian,58,150,38.67,0.3,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,81
"University of British Columbia, Vancouver, BC",University of British Columbia,Vancouver,BC,Asian,57,105,54.29,0.3,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,82
"University of Hawaii at Manoa, Honolulu, HI",University of Hawaii at Manoa,Honolulu,HI,Asian,57,81,70.37,0.3,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,83
"Wayne State University, Detroit, MI",Wayne State University,Detroit,MI,Asian,57,238,23.95,0.3,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,84
"University of California-Santa Cruz, Santa Cruz, CA",University of California-Santa Cruz,Santa Cruz,CA,Asian,56,139,40.29,0.3,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,85
"University of Maryland-Baltimore County, Baltimore, MD",University of Maryland-Baltimore County,Baltimore,MD,Asian,56,140,40.0,0.3,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,86
"State University of New York at Binghamton, Binghamton, NY",State University of New York at Binghamton,Binghamton,NY,Asian,54,211,25.59,0.3,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,87
"Tulane University, New Orleans, LA",Tulane University,New Orleans,LA,Asian,54,206,26.21,0.3,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,88
"University of Kentucky, Lexington, KY",University of Kentucky,Lexington,KY,Asian,54,246,21.95,0.3,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,89
"Princeton University, Princeton, NJ",Princeton University,Princeton,NJ,Asian,53,150,35.33,0.3,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,90
"University of Nevada-Reno, Reno, NV",University of Nevada-Reno,Reno,NV,Asian,53,128,41.41,0.3,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,91
"University of Massachusetts-Amherst, Amherst, MA",University of Massachusetts-Amherst,Amherst,MA,Asian,52,167,31.14,0.3,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,92
"Drexel University, Philadelphia, PA",Drexel University,Philadelphia,PA,Asian,50,106,47.17,0.3,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,93
