rank,school_name,state_aamc,application_deadline,criminal_background_check,application_deadline_date,shemmassian_school_name,medical_school,state_shemmassian,degree_type,average_gpa,average_mcat,minimum_mcat,is_public,campus_city,region,setting,school_state,school_state_code,school_degree_type,school_gpa,school_mcat,minimum_mcat_numeric,is_public_bool,school_city,school_region,school_setting,aamc_a1_medical_school,aamc_residency_match_status,aamc_applications_total,aamc_applications_in_state_pct,aamc_applications_out_of_state_pct,aamc_matriculants_total,aamc_matriculants_in_state_pct,aamc_matriculants_out_of_state_pct,aamc_residency_academic_year,academic_score,academic_category,academic_composite_z,gpa_difference,mcat_difference,gpa_position_score,mcat_position_score,below_minimum_mcat,academic_eligibility_status,academic_reasons,academic_warnings,aamc_residency_school_name,applications_out_of_state_pct,matriculants_out_of_state_pct,residency_context,residency_access_category,residency_priority,residency_eligibility_status,residency_reasons,residency_warnings,program_eligibility_status,dealbreaker_status,basic_preference_score,basic_preference_category,preference_components,preference_component_weights,preference_penalty,dealbreaker_conflicts,dealbreaker_verification,geographic_proximity_hops,preference_score_basis,preference_reasons,preference_warnings,preference_verification,mission_fit_score,mission_matches,mission_warnings,eligibility_status,eligibility_reasons,eligibility_verification,data_completeness_score,verification_needed,ranking_basis
11,NYU Grossman School of Medicine,New York,"October 15, 2026",Yes,2026-10-15,New York  University Grossman School of Medicine,New York  University Grossman School of Medicine,NY,MD,3.98,523,NR,False,New York,Northeast,Urban,New York,NY,MD,3.98,523.0,,False,New York,Northeast,Urban,NYU-Grossman,Matched,8385.0,14.0,86.0,99.0,21.2,78.8,2025-2026,,Insufficient Data,,-0.26,,9.7,,False,Eligible,"[""Applicant GPA is -0.26 relative to the school's reported average GPA of 3.98.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",NYU-Grossman,86.0,78.8,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 78.8% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,84.6,Strong Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 56.0, 'preferred_region': 100.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],4,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 4 border crossing(s).', 'School is in a preferred region: Northeast.', 'School setting exactly matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
12,Boston University Aram V. Chobanian & Edward Avedisian School of Medicine,Massachusetts,"November 2, 2026",Yes,2026-11-02,Boston University School of Medicine,Boston University School of Medicine,MA,MD,3.76,517,NR,False,Boston,Northeast,Urban,Massachusetts,MA,MD,3.76,517.0,,False,Boston,Northeast,Urban,BU-Chobanian Avedisian,Matched,11429.0,8.6,91.4,138.0,32.6,67.4,2025-2026,,Insufficient Data,,-0.04,,42.1,,False,Eligible,"[""Applicant GPA is -0.04 relative to the school's reported average GPA of 3.76.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",BU-Chobanian Avedisian,91.4,67.4,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 67.4% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,80.4,Strong Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 44.0, 'preferred_region': 100.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],5,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 5 border crossing(s).', 'School is in a preferred region: Northeast.', 'School setting exactly matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
13,Tufts University School of Medicine,Massachusetts,"November 2, 2026",Yes,2026-11-02,Tufts University School of Medicine,Tufts University School of Medicine,MA,MD,3.82,514,NR,False,Boston,Northeast,Urban,Massachusetts,MA,MD,3.82,514.0,,False,Boston,Northeast,Urban,Tufts,Matched,15455.0,7.4,92.6,204.0,26.0,74.0,2025-2026,,Insufficient Data,,-0.1,,30.9,,False,Eligible,"[""Applicant GPA is -0.10 relative to the school's reported average GPA of 3.82.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",Tufts,92.6,74.0,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 74.0% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,80.4,Strong Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 44.0, 'preferred_region': 100.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],5,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 5 border crossing(s).', 'School is in a preferred region: Northeast.', 'School setting exactly matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
14,Harvard Medical School,Massachusetts,"October 15, 2026",No,2026-10-15,Harvard Medical  School,Harvard Medical  School,MA,MD,3.90,520.48,NR,False,Boston,Northeast,Urban,Massachusetts,MA,MD,3.9,520.48,,False,Boston,Northeast,Urban,Harvard,Matched,8275.0,8.3,91.7,165.0,15.2,84.8,2025-2026,,Insufficient Data,,-0.18,,18.4,,False,Eligible,"[""Applicant GPA is -0.18 relative to the school's reported average GPA of 3.90.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",Harvard,91.7,84.8,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 84.8% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,80.4,Strong Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 44.0, 'preferred_region': 100.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],5,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 5 border crossing(s).', 'School is in a preferred region: Northeast.', 'School setting exactly matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
15,Yale School of Medicine,Connecticut,"October 15, 2026",Yes,2026-10-15,Yale School of  Medicine,Yale School of  Medicine,CT,MD,3.94,521,NR,False,New Haven,Northeast,Urban,Connecticut,CT,MD,3.94,521.0,,False,New Haven,Northeast,Urban,Yale,Matched,7352.0,3.7,96.3,104.0,5.8,94.2,2025-2026,,Insufficient Data,,-0.22,,13.6,,False,Eligible,"[""Applicant GPA is -0.22 relative to the school's reported average GPA of 3.94.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",Yale,96.3,94.2,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 94.2% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,80.4,Strong Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 44.0, 'preferred_region': 100.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],5,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 5 border crossing(s).', 'School is in a preferred region: Northeast.', 'School setting exactly matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
16,Meharry Medical College,Tennessee,"December 15, 2026",Yes,2026-12-15,Meharry Medical  College School of Medicine,Meharry Medical  College School of Medicine,TN,MD,3.46,503,NR,False,Nashville,Southeast,Urban,Tennessee,TN,MD,3.46,503.0,,False,Nashville,Southeast,Urban,Meharry,Matched,7949.0,4.0,96.0,115.0,11.3,88.7,2025-2026,,Insufficient Data,,0.26,,90.3,,False,Eligible,"[""Applicant GPA is +0.26 relative to the school's reported average GPA of 3.46.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",Meharry,96.0,88.7,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 88.7% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,78.4,Moderate Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 92.0, 'preferred_region': 25.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],1,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 1 border crossing(s).', 'School setting exactly matches the preference: Urban.']",['School is outside the preferred regions: Southeast.'],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
17,Morehouse School of Medicine,Georgia,"December 1, 2026",Yes,2026-12-01,Morehouse  School of Medicine,Morehouse  School of Medicine,GA,MD,3.64,504.1,NR,False,Atlanta,Southeast,Urban,Georgia,GA,MD,3.64,504.1,,False,Atlanta,Southeast,Urban,Morehouse,Matched,6873.0,12.0,88.0,110.0,56.4,43.6,2025-2026,,Insufficient Data,,0.08,,65.5,,False,Eligible,"[""Applicant GPA is +0.08 relative to the school's reported average GPA of 3.64.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",Morehouse,88.0,43.6,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 43.6% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,78.4,Moderate Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 92.0, 'preferred_region': 25.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],1,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 1 border crossing(s).', 'School setting exactly matches the preference: Urban.']",['School is outside the preferred regions: Southeast.'],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
18,Emory University School of Medicine,Georgia,"October 15, 2026",No,2026-10-15,Emory  University School of Medicine,Emory  University School of Medicine,GA,MD,3.70,514,NR,False,Atlanta,Southeast,Urban,Georgia,GA,MD,3.7,514.0,,False,Atlanta,Southeast,Urban,Emory,Matched,12671.0,7.5,92.5,136.0,25.0,75.0,2025-2026,,Insufficient Data,,0.02,,54.0,,False,Eligible,"[""Applicant GPA is +0.02 relative to the school's reported average GPA of 3.70.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",Emory,92.5,75.0,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 75.0% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,78.4,Moderate Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 92.0, 'preferred_region': 25.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],1,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 1 border crossing(s).', 'School setting exactly matches the preference: Urban.']",['School is outside the preferred regions: Southeast.'],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
19,Vanderbilt University School of Medicine,Tennessee,"November 2, 2026",Yes,2026-11-02,Vanderbilt University School of Medicine,Vanderbilt University School of Medicine,TN,MD,3.5-4.0,508-528,NR,False,Nashville,Southeast,Urban,Tennessee,TN,MD,3.75,518.0,,False,Nashville,Southeast,Urban,Vanderbilt,Matched,7685.0,5.0,95.0,95.0,6.3,93.7,2025-2026,,Insufficient Data,,-0.03,,44.0,,False,Eligible,"[""Applicant GPA is -0.03 relative to the school's reported average GPA of 3.75.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",Vanderbilt,95.0,93.7,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 93.7% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,78.4,Moderate Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 92.0, 'preferred_region': 25.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],1,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 1 border crossing(s).', 'School setting exactly matches the preference: Urban.']",['School is outside the preferred regions: Southeast.'],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
20,New York Medical College,New York,"December 15, 2026",Yes,2026-12-15,New York Medical College,New York Medical College,NY,MD,3.60,516,NR,False,Valhalla,Northeast,Suburban,New York,NY,MD,3.6,516.0,,False,Valhalla,Northeast,Suburban,New York Medical,Matched,9525.0,21.6,78.4,233.0,60.1,39.9,2025-2026,,Insufficient Data,,0.12,,72.6,,False,Eligible,"[""Applicant GPA is +0.12 relative to the school's reported average GPA of 3.60.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",New York Medical,78.4,39.9,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 39.9% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,77.1,Moderate Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 56.0, 'preferred_region': 100.0, 'setting': 70.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],4,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 4 border crossing(s).', 'School is in a preferred region: Northeast.']","['School setting is Suburban, compared with the preferred setting of Urban.']",[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
21,Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,New York,"November 2, 2026",Yes,2026-11-02,Hofstra  Northwell School of Medicine,Hofstra  Northwell School of Medicine,NY,MD,3.92,518,NR,False,Hempstead,Northeast,Suburban,New York,NY,MD,3.92,518.0,,False,Hempstead,Northeast,Suburban,Zucker Hofstra Northwell,Matched,5368.0,30.4,69.6,104.0,57.7,42.3,2025-2026,,Insufficient Data,,-0.2,,15.9,,False,Eligible,"[""Applicant GPA is -0.20 relative to the school's reported average GPA of 3.92.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",Zucker Hofstra Northwell,69.6,42.3,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 42.3% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,77.1,Moderate Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 56.0, 'preferred_region': 100.0, 'setting': 70.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],4,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 4 border crossing(s).', 'School is in a preferred region: Northeast.']","['School setting is Suburban, compared with the preferred setting of Urban.']",[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
22,NYU Grossman Long Island School of Medicine,New York,"November 2, 2026",Yes,2026-11-02,New York  University Long Island School of Medicine,New York  University Long Island School of Medicine,NY,MD,3.94,516,NR,False,Mineola,Northeast,Suburban,New York,NY,MD,3.94,516.0,,False,Mineola,Northeast,Suburban,NYU Long Island-Grossman,Matched,4738.0,24.6,75.4,24.0,62.5,37.5,2025-2026,,Insufficient Data,,-0.22,,13.6,,False,Eligible,"[""Applicant GPA is -0.22 relative to the school's reported average GPA of 3.94.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",NYU Long Island-Grossman,75.4,37.5,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 37.5% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,77.1,Moderate Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 56.0, 'preferred_region': 100.0, 'setting': 70.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],4,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 4 border crossing(s).', 'School is in a preferred region: Northeast.']","['School setting is Suburban, compared with the preferred setting of Urban.']",[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
23,The Warren Alpert Medical School of Brown University,Rhode Island,"October 7, 2026",Yes,2026-10-07,Brown  University The Warren Alpert Medical School,Brown  University The Warren Alpert Medical School,RI,MD,3.83,516,NR,False,Providence,Northeast,Urban,Rhode Island,RI,MD,3.83,516.0,,False,Providence,Northeast,Urban,Brown-Alpert,Matched,9186.0,0.9,99.1,144.0,10.4,89.6,2025-2026,,Insufficient Data,,-0.11,,29.1,,False,Eligible,"[""Applicant GPA is -0.11 relative to the school's reported average GPA of 3.83.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",Brown-Alpert,99.1,89.6,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 89.6% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,76.2,Moderate Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 32.0, 'preferred_region': 100.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],6,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 6 border crossing(s).', 'School is in a preferred region: Northeast.', 'School setting exactly matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
24,Georgetown University School of Medicine,District of Columbia,"November 2, 2026",Yes,2026-11-02,Georgetown University School of Medicine,Georgetown University School of Medicine,DC,MD,3.76,513,NR,False,Washington,Mid-Atlantic,Urban,District of Columbia,DC,MD,3.76,513.0,,False,Washington,Mid-Atlantic,Urban,Georgetown,Matched,14542.0,0.6,99.4,203.0,3.4,96.6,2025-2026,,Insufficient Data,,-0.04,,42.1,,False,Eligible,"[""Applicant GPA is -0.04 relative to the school's reported average GPA of 3.76.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",Georgetown,99.4,96.6,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 96.6% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,74.2,Moderate Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 80.0, 'preferred_region': 25.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],2,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 2 border crossing(s).', 'School setting exactly matches the preference: Urban.']",['School is outside the preferred regions: Mid-Atlantic.'],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
25,George Washington University School of Medicine & Health Sciences,District of Columbia,"November 2, 2026",Yes,2026-11-02,George Washington University School of Medicine and Health Sciences,George Washington University School of Medicine and Health Sciences,DC,MD,3.88,515,NR,False,Washington,Mid-Atlantic,Urban,District of Columbia,DC,MD,3.88,515.0,,False,Washington,Mid-Atlantic,Urban,George Washington,Matched,17194.0,0.5,99.5,130.0,3.8,96.2,2025-2026,,Insufficient Data,,-0.16,,21.2,,False,Eligible,"[""Applicant GPA is -0.16 relative to the school's reported average GPA of 3.88.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",George Washington,99.5,96.2,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 96.2% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,74.2,Moderate Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 80.0, 'preferred_region': 25.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],2,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 2 border crossing(s).', 'School setting exactly matches the preference: Urban.']",['School is outside the preferred regions: Mid-Atlantic.'],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
