indicator_group,indicator_name,indicator_short_name,indicator_structure,application_stage,academic_year,count,percent_of_total,total_people,source_table
Socioeconomic Status Distribution,EO1/2: Lower parental education or service/clerical/skilled/unskilled occupation,EO1/2,mutually_exclusive_distribution,Acceptees,2022-2023,5124,21.5,23810,A-24
Socioeconomic Status Distribution,EO3/4/5: Bachelor's or higher parental education with executive/managerial/professional occupation,EO3/4/5,mutually_exclusive_distribution,Acceptees,2022-2023,15994,67.2,23810,A-24
Socioeconomic Status Distribution,Not Applicable or Unknown SES,Not Applicable/Unknown,mutually_exclusive_distribution,Acceptees,2022-2023,2692,11.3,23810,A-24
Socioeconomic Status Distribution,EO1/2: Lower parental education or service/clerical/skilled/unskilled occupation,EO1/2,mutually_exclusive_distribution,Acceptees,2023-2024,5099,21.2,24014,A-24
Socioeconomic Status Distribution,EO3/4/5: Bachelor's or higher parental education with executive/managerial/professional occupation,EO3/4/5,mutually_exclusive_distribution,Acceptees,2023-2024,16339,68,24014,A-24
Socioeconomic Status Distribution,Not Applicable or Unknown SES,Not Applicable/Unknown,mutually_exclusive_distribution,Acceptees,2023-2024,2576,10.7,24014,A-24
Socioeconomic Status Distribution,EO1/2: Lower parental education or service/clerical/skilled/unskilled occupation,EO1/2,mutually_exclusive_distribution,Acceptees,2024-2025,5010,20.7,24172,A-24
Socioeconomic Status Distribution,EO3/4/5: Bachelor's or higher parental education with executive/managerial/professional occupation,EO3/4/5,mutually_exclusive_distribution,Acceptees,2024-2025,16633,68.8,24172,A-24
Socioeconomic Status Distribution,Not Applicable or Unknown SES,Not Applicable/Unknown,mutually_exclusive_distribution,Acceptees,2024-2025,2529,10.5,24172,A-24
Socioeconomic Status Distribution,EO1/2: Lower parental education or service/clerical/skilled/unskilled occupation,EO1/2,mutually_exclusive_distribution,Acceptees,2025-2026,4787,19.7,24300,A-24
Socioeconomic Status Distribution,EO3/4/5: Bachelor's or higher parental education with executive/managerial/professional occupation,EO3/4/5,mutually_exclusive_distribution,Acceptees,2025-2026,16741,68.9,24300,A-24
Socioeconomic Status Distribution,Not Applicable or Unknown SES,Not Applicable/Unknown,mutually_exclusive_distribution,Acceptees,2025-2026,2772,11.4,24300,A-24
Socioeconomic Status Distribution,EO1/2: Lower parental education or service/clerical/skilled/unskilled occupation,EO1/2,mutually_exclusive_distribution,Matriculants,2018-2019,4516,20.9,21622,A-24
Socioeconomic Status Distribution,EO3/4/5: Bachelor's or higher parental education with executive/managerial/professional occupation,EO3/4/5,mutually_exclusive_distribution,Matriculants,2018-2019,14837,68.6,21622,A-24
Socioeconomic Status Distribution,Not Applicable or Unknown SES,Not Applicable/Unknown,mutually_exclusive_distribution,Matriculants,2018-2019,2269,10.5,21622,A-24
Socioeconomic Status Distribution,EO1/2: Lower parental education or service/clerical/skilled/unskilled occupation,EO1/2,mutually_exclusive_distribution,Matriculants,2019-2020,4425,20.2,21869,A-24
Socioeconomic Status Distribution,EO3/4/5: Bachelor's or higher parental education with executive/managerial/professional occupation,EO3/4/5,mutually_exclusive_distribution,Matriculants,2019-2020,15055,68.8,21869,A-24
Socioeconomic Status Distribution,Not Applicable or Unknown SES,Not Applicable/Unknown,mutually_exclusive_distribution,Matriculants,2019-2020,2389,10.9,21869,A-24
Socioeconomic Status Distribution,EO1/2: Lower parental education or service/clerical/skilled/unskilled occupation,EO1/2,mutually_exclusive_distribution,Matriculants,2020-2021,4650,20.9,22239,A-24
Socioeconomic Status Distribution,EO3/4/5: Bachelor's or higher parental education with executive/managerial/professional occupation,EO3/4/5,mutually_exclusive_distribution,Matriculants,2020-2021,15132,68,22239,A-24
Socioeconomic Status Distribution,Not Applicable or Unknown SES,Not Applicable/Unknown,mutually_exclusive_distribution,Matriculants,2020-2021,2457,11,22239,A-24
Socioeconomic Status Distribution,EO1/2: Lower parental education or service/clerical/skilled/unskilled occupation,EO1/2,mutually_exclusive_distribution,Matriculants,2021-2022,4901,21.6,22666,A-24
Socioeconomic Status Distribution,EO3/4/5: Bachelor's or higher parental education with executive/managerial/professional occupation,EO3/4/5,mutually_exclusive_distribution,Matriculants,2021-2022,15192,67,22666,A-24
Socioeconomic Status Distribution,Not Applicable or Unknown SES,Not Applicable/Unknown,mutually_exclusive_distribution,Matriculants,2021-2022,2573,11.4,22666,A-24
Socioeconomic Status Distribution,EO1/2: Lower parental education or service/clerical/skilled/unskilled occupation,EO1/2,mutually_exclusive_distribution,Matriculants,2022-2023,4887,21.5,22710,A-24
Socioeconomic Status Distribution,EO3/4/5: Bachelor's or higher parental education with executive/managerial/professional occupation,EO3/4/5,mutually_exclusive_distribution,Matriculants,2022-2023,15293,67.3,22710,A-24
Socioeconomic Status Distribution,Not Applicable or Unknown SES,Not Applicable/Unknown,mutually_exclusive_distribution,Matriculants,2022-2023,2530,11.1,22710,A-24
